,,,,,,,,,
"MAT1004 - Álgebra Linear   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
AMB5,Indisponível,Presencial,30,0,Aberta,1 - Eng Amb/Sanitária,2T1(I26) - 2T2(I26) - 2T3(I26),Tasia Hickmann,Não
CC3,Indisponível,Presencial,36,0,Aberta,1 - Ciência Computação,3T1(I26) - 3T2(I26) - 3T3(I26),Tasia Hickmann,Não
ELE2,Indisponível,Presencial,36,0,Aberta,1 - Engenharia Elétrica,6T3(I26) - 6T4(I26) - 6T5(I26),Priscila Pigatto Gasparin,Não
EP4,Indisponível,Presencial,36,0,Aberta,1 - Eng.Produção,6M1(I26) - 6M2(I26) - 6M3(I26),Samuel Bellido Rodrigues,Não
,,,,,,,,,
"COM1021 - Desenvolvimento De Aplicativos Para Dispositivos Móveis   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC4,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,5M3(L18) - 5M4(L18) - 5M5(L18),Everton Coimbra De Araujo,Não
,,,,,,,,,
"ELE1061 - Eletrônica Digital   (3 Aulas semanais presenciais, 1 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC2,Indisponível,Presencial,40,0,Fechada,1 - Ciência Computação,3M1(J49) - 3M2(J49) - 3M3(J49),Alexandre Victor Casella,Não
,,,,,,,,,
"PP58A - Empreendedorismo   (2 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
CC7,Indisponível,Presencial,30,0,Aberta,1 - Ciência Computação,2T4(H614) - 2T5(H614),Carlos Laercio Wrasse,Não
E81,Indisponível,Presencial,30,0,Aberta,1 - Engenharia Elétrica,2T4(H610) - 2T5(H610),Luciano Da Costa Barzotto,Não
,,,,,,,,,
"CC56D - Engenharia De Software 2   (3 Aulas semanais presenciais, 0 Aulas semanais assíncronas, 0 horas semestrais extensionistas)",,,,,,,,,
,,,,,,,,,
Turma,Matricula Intercampus,Enquadramento,Vagas,Vagas,Reserva,Prioridade - Curso,Horário (dia/turno/aula),Professor (Sujeito à alteração),Optativa (Observar Equivalências)
,,,Total,Calouros,,,,,
